기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2011	합계	4,192,752.0	10,528,774.0	5,208,492.0	5,320,282.0	10,249,679.0	5,073,899.0	5,175,780.0	279,095.0	134,593.0	144,502.0	17,397.0	605.2	2.4	1,049,425.0
2011	종로구	76,688.0	177,419.0	88,107.0	89,312.0	168,382.0	83,931.0	84,451.0	9,037.0	4,176.0	4,861.0	7,421.0	23.9	2.2	22,939.0
2011	중구	61,475.0	141,567.0	71,137.0	70,430.0	133,193.0	67,065.0	66,128.0	8,374.0	4,072.0	4,302.0	14,212.0	10.0	2.2	18,099.0
2011	용산구	112,617.0	259,288.0	126,735.0	132,553.0	246,501.0	120,183.0	126,318.0	12,787.0	6,552.0	6,235.0	11,857.0	21.9	2.2	31,837.0
2011	성동구	126,148.0	308,767.0	154,511.0	154,256.0	300,711.0	150,655.0	150,056.0	8,056.0	3,856.0	4,200.0	18,325.0	16.8	2.4	32,767.0
2011	광진구	158,472.0	386,673.0	190,867.0	195,806.0	371,936.0	184,103.0	187,833.0	14,737.0	6,764.0	7,973.0	22,661.0	17.1	2.4	33,613.0
2011	동대문구	157,823.0	378,534.0	189,538.0	188,996.0	365,486.0	183,925.0	181,561.0	13,048.0	5,613.0	7,435.0	26,653.0	14.2	2.3	44,368.0
2011	중랑구	175,115.0	428,672.0	214,258.0	214,414.0	423,706.0	212,291.0	211,415.0	4,966.0	1,967.0	2,999.0	23,175.0	18.5	2.4	43,745.0
2011	성북구	199,398.0	494,422.0	243,639.0	250,783.0	485,171.0	239,726.0	245,445.0	9,251.0	3,913.0	5,338.0	20,125.0	24.6	2.4	55,213.0
2011	강북구	142,527.0	348,740.0	172,309.0	176,431.0	345,054.0	170,906.0	174,148.0	3,686.0	1,403.0	2,283.0	14,780.0	23.6	2.4	43,507.0
2011	도봉구	139,348.0	367,949.0	181,911.0	186,038.0	365,573.0	181,004.0	184,569.0	2,376.0	907.0	1,469.0	17,774.0	20.7	2.6	39,810.0
2011	노원구	225,104.0	608,062.0	297,308.0	310,754.0	603,930.0	295,551.0	308,379.0	4,132.0	1,757.0	2,375.0	17,160.0	35.4	2.7	58,642.0
2011	은평구	197,582.0	498,350.0	244,730.0	253,620.0	493,634.0	242,779.0	250,855.0	4,716.0	1,951.0	2,765.0	16,782.0	29.7	2.5	56,595.0
2011	서대문구	134,730.0	324,529.0	158,160.0	166,369.0	314,852.0	154,033.0	160,819.0	9,677.0	4,127.0	5,550.0	18,434.0	17.6	2.3	40,041.0
2011	마포구	168,640.0	398,627.0	193,539.0	205,088.0	389,493.0	189,243.0	200,250.0	9,134.0	4,296.0	4,838.0	16,720.0	23.8	2.3	42,610.0
2011	양천구	182,677.0	505,605.0	251,346.0	254,259.0	500,210.0	248,927.0	251,283.0	5,395.0	2,419.0	2,976.0	29,049.0	17.4	2.7	41,110.0
2011	강서구	223,490.0	575,846.0	283,662.0	292,184.0	569,072.0	280,274.0	288,798.0	6,774.0	3,388.0	3,386.0	13,901.0	41.4	2.6	52,314.0
2011	구로구	171,064.0	458,908.0	232,056.0	226,852.0	427,468.0	215,474.0	211,994.0	31,440.0	16,582.0	14,858.0	22,806.0	20.1	2.5	41,992.0
2011	금천구	103,600.0	264,256.0	135,604.0	128,652.0	243,438.0	124,665.0	118,773.0	20,818.0	10,939.0	9,879.0	20,326.0	13.0	2.4	25,089.0
2011	영등포구	168,850.0	439,555.0	221,913.0	217,642.0	397,443.0	199,987.0	197,456.0	42,112.0	21,926.0	20,186.0	17,892.0	24.6	2.4	43,891.0
2011	동작구	167,099.0	413,658.0	203,341.0	210,317.0	401,408.0	197,672.0	203,736.0	12,250.0	5,669.0	6,581.0	25,296.0	16.4	2.4	44,287.0
2011	관악구	246,979.0	546,350.0	276,675.0	269,675.0	526,397.0	267,145.0	259,252.0	19,953.0	9,530.0	10,423.0	18,478.0	29.6	2.1	53,022.0
2011	서초구	168,988.0	439,012.0	212,636.0	226,376.0	433,564.0	209,902.0	223,662.0	5,448.0	2,734.0	2,714.0	9,340.0	47.0	2.6	39,035.0
2011	강남구	231,983.0	573,003.0	275,906.0	297,097.0	565,710.0	271,991.0	293,719.0	7,293.0	3,915.0	3,378.0	14,501.0	39.5	2.4	47,187.0
2011	송파구	261,963.0	690,466.0	338,344.0	352,122.0	682,209.0	334,494.0	347,715.0	8,257.0	3,850.0	4,407.0	20,382.0	33.9	2.6	55,456.0
2011	강동구	190,392.0	500,516.0	250,260.0	250,256.0	495,138.0	247,973.0	247,165.0	5,378.0	2,287.0	3,091.0	20,359.0	24.6	2.6	42,256.0
2012	합계	4,177,970.0	10,442,426.0	5,159,665.0	5,282,761.0	10,195,318.0	5,041,336.0	5,153,982.0	247,108.0	118,329.0	128,779.0	17,255.2	605.2	2.4	1,110,995.0
2012	종로구	75,659.0	173,148.0	85,997.0	87,151.0	165,207.0	82,274.0	82,933.0	7,941.0	3,723.0	4,218.0	7,242.5	23.9	2.2	23,868.0
2012	중구	61,546.0	140,807.0	70,762.0	70,045.0	133,360.0	67,043.0	66,317.0	7,447.0	3,719.0	3,728.0	14,135.8	10.0	2.2	18,875.0
2012	용산구	110,706.0	255,294.0	124,708.0	130,586.0	243,232.0	118,461.0	124,771.0	12,062.0	6,247.0	5,815.0	11,673.9	21.9	2.2	33,027.0
2012	성동구	125,848.0	306,868.0	153,272.0	153,596.0	299,604.0	149,832.0	149,772.0	7,264.0	3,440.0	3,824.0	18,214.3	16.8	2.4	34,180.0
2012	광진구	158,534.0	384,269.0	189,367.0	194,902.0	371,313.0	183,528.0	187,785.0	12,956.0	5,839.0	7,117.0	22,519.9	17.1	2.3	35,759.0
2012	동대문구	157,650.0	375,683.0	187,851.0	187,832.0	363,258.0	182,661.0	180,597.0	12,425.0	5,190.0	7,235.0	26,452.9	14.2	2.3	46,795.0
2012	중랑구	174,313.0	423,655.0	211,708.0	211,947.0	419,295.0	210,043.0	209,252.0	4,360.0	1,665.0	2,695.0	22,904.0	18.5	2.4	46,476.0
2012	성북구	197,992.0	490,639.0	241,162.0	249,477.0	481,857.0	237,474.0	244,383.0	8,782.0	3,688.0	5,094.0	19,967.9	24.6	2.4	58,142.0
2012	강북구	142,150.0	346,493.0	171,099.0	175,394.0	343,157.0	169,866.0	173,291.0	3,336.0	1,233.0	2,103.0	14,683.9	23.6	2.4	46,222.0
2012	도봉구	138,036.0	364,454.0	180,023.0	184,431.0	362,270.0	179,194.0	183,076.0	2,184.0	829.0	1,355.0	17,604.6	20.7	2.6	42,267.0
2012	노원구	222,959.0	600,829.0	293,616.0	307,213.0	597,189.0	292,081.0	305,108.0	3,640.0	1,535.0	2,105.0	16,955.0	35.4	2.7	61,218.0
2012	은평구	200,502.0	505,902.0	248,150.0	257,752.0	501,480.0	246,318.0	255,162.0	4,422.0	1,832.0	2,590.0	17,034.6	29.7	2.5	60,776.0
2012	서대문구	135,104.0	324,733.0	157,969.0	166,764.0	315,113.0	154,017.0	161,096.0	9,620.0	3,952.0	5,668.0	18,443.8	17.6	2.3	42,088.0
2012	마포구	166,722.0	393,576.0	190,514.0	203,062.0	384,644.0	186,452.0	198,192.0	8,932.0	4,062.0	4,870.0	16,510.6	23.8	2.3	44,283.0
2012	양천구	181,135.0	500,533.0	248,683.0	251,850.0	495,911.0	246,637.0	249,274.0	4,622.0	2,046.0	2,576.0	28,768.9	17.4	2.7	43,514.0
2012	강서구	223,708.0	573,794.0	282,185.0	291,609.0	567,431.0	278,969.0	288,462.0	6,363.0	3,216.0	3,147.0	13,850.8	41.4	2.5	55,821.0
2012	구로구	171,498.0	454,478.0	229,130.0	225,348.0	427,520.0	214,982.0	212,538.0	26,958.0	14,148.0	12,810.0	22,589.0	20.1	2.5	45,252.0
2012	금천구	104,357.0	260,734.0	133,834.0	126,900.0	243,288.0	124,675.0	118,613.0	17,446.0	9,159.0	8,287.0	20,055.2	13.0	2.3	26,848.0
2012	영등포구	167,685.0	426,876.0	215,084.0	211,792.0	391,408.0	196,765.0	194,643.0	35,468.0	18,319.0	17,149.0	17,386.1	24.6	2.3	46,237.0
2012	동작구	169,293.0	416,268.0	204,479.0	211,789.0	405,491.0	199,454.0	206,037.0	10,777.0	5,025.0	5,752.0	25,456.2	16.4	2.4	47,185.0
2012	관악구	247,598.0	540,520.0	273,640.0	266,880.0	523,029.0	265,281.0	257,748.0	17,491.0	8,359.0	9,132.0	18,279.6	29.6	2.1	56,620.0
2012	서초구	168,878.0	439,998.0	213,011.0	226,987.0	435,044.0	210,440.0	224,604.0	4,954.0	2,571.0	2,383.0	9,361.3	47.0	2.6	41,763.0
2012	강남구	230,755.0	569,997.0	274,124.0	295,873.0	564,197.0	270,970.0	293,227.0	5,800.0	3,154.0	2,646.0	14,431.2	39.5	2.4	50,348.0
2012	송파구	257,852.0	680,150.0	333,060.0	347,090.0	673,115.0	329,747.0	343,368.0	7,035.0	3,313.0	3,722.0	20,077.8	33.9	2.6	58,490.0
2012	강동구	187,490.0	492,728.0	246,237.0	246,491.0	487,905.0	244,172.0	243,733.0	4,823.0	2,065.0	2,758.0	20,041.7	24.6	2.6	44,941.0
2013	합계	4,182,351.0	10,388,055.0	5,126,351.0	5,261,704.0	10,143,645.0	5,007,869.0	5,135,776.0	244,410.0	118,482.0	125,928.0	17,164.5	605.2	2.4	1,167,177.0
2013	종로구	73,693.0	167,867.0	83,211.0	84,656.0	160,070.0	79,519.0	80,551.0	7,797.0	3,692.0	4,105.0	7,021.6	23.9	2.2	23,997.0
2013	중구	60,600.0	137,990.0	69,128.0	68,862.0	130,465.0	65,371.0	65,094.0	7,525.0	3,757.0	3,768.0	13,854.3	10.0	2.2	19,346.0
2013	용산구	109,361.0	251,925.0	122,974.0	128,951.0	239,740.0	116,491.0	123,249.0	12,185.0	6,483.0	5,702.0	11,519.9	21.9	2.2	34,017.0
2013	성동구	126,447.0	306,571.0	152,809.0	153,762.0	299,337.0	149,304.0	150,033.0	7,234.0	3,505.0	3,729.0	18,190.0	16.9	2.4	35,421.0
2013	광진구	159,173.0	381,439.0	187,584.0	193,855.0	368,927.0	181,864.0	187,063.0	12,512.0	5,720.0	6,792.0	22,355.6	17.1	2.3	37,623.0
2013	동대문구	159,256.0	376,445.0	188,167.0	188,278.0	364,273.0	182,987.0	181,286.0	12,172.0	5,180.0	6,992.0	26,490.1	14.2	2.3	49,097.0
2013	중랑구	174,938.0	421,237.0	210,390.0	210,847.0	416,798.0	208,641.0	208,157.0	4,439.0	1,749.0	2,690.0	22,773.0	18.5	2.4	48,998.0
2013	성북구	196,693.0	485,347.0	238,228.0	247,119.0	476,589.0	234,573.0	242,016.0	8,758.0	3,655.0	5,103.0	19,747.1	24.6	2.4	60,499.0
2013	강북구	141,246.0	341,921.0	168,546.0	173,375.0	338,707.0	167,342.0	171,365.0	3,214.0	1,204.0	2,010.0	14,490.0	23.6	2.4	48,547.0
2013	도봉구	137,714.0	360,609.0	177,925.0	182,684.0	358,582.0	177,153.0	181,429.0	2,027.0	772.0	1,255.0	17,418.4	20.7	2.6	44,469.0
2013	노원구	222,132.0	594,027.0	289,967.0	304,060.0	590,479.0	288,435.0	302,044.0	3,548.0	1,532.0	2,016.0	16,763.5	35.4	2.7	63,810.0
2013	은평구	202,487.0	508,111.0	248,722.0	259,389.0	503,660.0	246,858.0	256,802.0	4,451.0	1,864.0	2,587.0	17,107.0	29.7	2.5	64,328.0
2013	서대문구	135,272.0	324,067.0	157,314.0	166,753.0	314,110.0	153,315.0	160,795.0	9,957.0	3,999.0	5,958.0	18,405.1	17.6	2.3	43,850.0
2013	마포구	166,780.0	391,098.0	188,874.0	202,224.0	381,856.0	184,774.0	197,082.0	9,242.0	4,100.0	5,142.0	16,406.7	23.8	2.3	45,758.0
2013	양천구	180,443.0	496,934.0	246,723.0	250,211.0	492,528.0	244,742.0	247,786.0	4,406.0	1,981.0	2,425.0	28,553.6	17.4	2.7	46,026.0
2013	강서구	226,607.0	575,236.0	282,287.0	292,949.0	569,070.0	279,207.0	289,863.0	6,166.0	3,080.0	3,086.0	13,885.5	41.4	2.5	59,530.0
2013	구로구	171,419.0	452,168.0	227,694.0	224,474.0	424,964.0	213,251.0	211,713.0	27,204.0	14,443.0	12,761.0	22,475.0	20.1	2.5	48,027.0
2013	금천구	104,179.0	258,254.0	132,742.0	125,512.0	241,020.0	123,462.0	117,558.0	17,234.0	9,280.0	7,954.0	19,840.5	13.0	2.3	28,310.0
2013	영등포구	167,761.0	421,577.0	212,417.0	209,160.0	386,471.0	193,880.0	192,591.0	35,106.0	18,537.0	16,569.0	17,187.1	24.5	2.3	48,065.0
2013	동작구	172,700.0	421,487.0	207,223.0	214,264.0	410,815.0	202,144.0	208,671.0	10,672.0	5,079.0	5,593.0	25,772.9	16.4	2.4	50,062.0
2013	관악구	248,006.0	535,128.0	270,512.0	264,616.0	518,028.0	262,248.0	255,780.0	17,100.0	8,264.0	8,836.0	18,097.2	29.6	2.1	59,705.0
2013	서초구	170,594.0	446,541.0	215,771.0	230,770.0	441,763.0	213,285.0	228,478.0	4,778.0	2,486.0	2,292.0	9,500.5	47.0	2.6	44,674.0
2013	강남구	230,645.0	569,152.0	273,583.0	295,569.0	563,599.0	270,601.0	292,998.0	5,553.0	2,982.0	2,571.0	14,408.6	39.5	2.4	53,461.0
2013	송파구	257,441.0	674,955.0	330,030.0	344,925.0	668,415.0	326,919.0	341,496.0	6,540.0	3,111.0	3,429.0	19,925.0	33.9	2.6	61,745.0
2013	강동구	186,764.0	487,969.0	243,530.0	244,439.0	483,379.0	241,503.0	241,876.0	4,590.0	2,027.0	2,563.0	19,846.5	24.6	2.6	47,812.0
2014	합계	4,194,176.0	10,369,593.0	5,109,013.0	5,260,580.0	10,103,233.0	4,979,768.0	5,123,465.0	266,360.0	129,245.0	137,115.0	17,134.0	605.2	2.4	1,221,616.0
2014	종로구	73,101.0	165,344.0	81,439.0	83,905.0	156,993.0	77,621.0	79,372.0	8,351.0	3,818.0	4,533.0	6,915.0	23.9	2.2	24,537.0
2014	중구	59,960.0	136,227.0	67,952.0	68,275.0	128,065.0	64,033.0	64,032.0	8,162.0	3,919.0	4,243.0	13,677.0	10.0	2.1	19,960.0
2014	용산구	108,429.0	249,914.0	122,047.0	127,867.0	235,951.0	114,578.0	121,373.0	13,963.0	7,469.0	6,494.0	11,427.0	21.9	2.2	34,896.0
2014	성동구	125,814.0	303,891.0	151,149.0	152,742.0	296,086.0	147,363.0	148,723.0	7,805.0	3,786.0	4,019.0	18,035.0	16.9	2.4	36,684.0
2014	광진구	158,524.0	377,375.0	185,011.0	192,364.0	363,354.0	178,738.0	184,616.0	14,021.0	6,273.0	7,748.0	22,120.0	17.1	2.3	38,974.0
2014	동대문구	159,880.0	376,319.0	187,638.0	188,681.0	363,687.0	182,510.0	181,177.0	12,632.0	5,128.0	7,504.0	26,483.0	14.2	2.3	50,915.0
2014	중랑구	176,714.0	423,411.0	211,178.0	212,233.0	418,836.0	209,323.0	209,513.0	4,575.0	1,855.0	2,720.0	22,887.0	18.5	2.4	51,995.0
2014	성북구	193,359.0	475,961.0	233,009.0	242,952.0	466,706.0	229,205.0	237,501.0	9,255.0	3,804.0	5,451.0	19,364.0	24.6	2.4	62,066.0
2014	강북구	141,246.0	338,410.0	166,553.0	171,857.0	335,025.0	165,223.0	169,802.0	3,385.0	1,330.0	2,055.0	14,339.0	23.6	2.4	50,841.0
2014	도봉구	136,977.0	355,712.0	175,306.0	180,406.0	353,709.0	174,554.0	179,155.0	2,003.0	752.0	1,251.0	17,184.0	20.7	2.6	46,471.0
2014	노원구	221,107.0	586,056.0	285,697.0	300,359.0	582,552.0	284,225.0	298,327.0	3,504.0	1,472.0	2,032.0	16,537.0	35.4	2.6	66,480.0
2014	은평구	202,187.0	503,243.0	245,946.0	257,297.0	498,644.0	243,977.0	254,667.0	4,599.0	1,969.0	2,630.0	16,944.0	29.7	2.5	67,002.0
2014	서대문구	134,780.0	320,861.0	155,477.0	165,384.0	310,376.0	151,338.0	159,038.0	10,485.0	4,139.0	6,346.0	18,220.0	17.6	2.3	45,309.0
2014	마포구	169,492.0	395,830.0	190,717.0	205,113.0	385,439.0	186,177.0	199,262.0	10,391.0	4,540.0	5,851.0	16,604.0	23.8	2.3	47,360.0
2014	양천구	179,069.0	490,708.0	243,091.0	247,617.0	486,221.0	241,020.0	245,201.0	4,487.0	2,071.0	2,416.0	28,202.0	17.4	2.7	48,175.0
2014	강서구	234,378.0	591,653.0	289,841.0	301,812.0	585,160.0	286,644.0	298,516.0	6,493.0	3,197.0	3,296.0	14,281.0	41.4	2.5	64,287.0
2014	구로구	172,594.0	457,131.0	230,091.0	227,040.0	425,831.0	213,213.0	212,618.0	31,300.0	16,878.0	14,422.0	22,720.0	20.1	2.5	51,187.0
2014	금천구	103,940.0	258,030.0	132,476.0	125,554.0	238,463.0	121,878.0	116,585.0	19,567.0	10,598.0	8,969.0	19,818.0	13.0	2.3	29,553.0
2014	영등포구	168,100.0	421,436.0	212,261.0	209,175.0	382,352.0	191,464.0	190,888.0	39,084.0	20,797.0	18,287.0	17,180.0	24.5	2.3	49,829.0
2014	동작구	172,389.0	419,261.0	205,962.0	213,299.0	407,470.0	200,328.0	207,142.0	11,791.0	5,634.0	6,157.0	25,643.0	16.4	2.4	52,327.0
